"Type","Theme","File","Name","Legend","Values","Color","Labels","Unit","Provenance","Order","Visible","Hidden","Goal"
"include","","I_Military_bases.tif","","manual","0, 1","#00000000, #b3de69","not included, included","km2","","","","",""
"include","","I_Protected.tif","","manual","0, 1","#00000000, #b3de69","not included, included","km2","","","","",""
"theme","Species at Risk (ECCC)","T_ECCC_SAR_Agalinis_gattingeri.tif","Agalinis gattingeri","manual","0, 1","#00000000, #fb8072","absence, presence","km2","national","","","","1"
"theme","Species at Risk (ECCC)","T_ECCC_SAR_Ambystoma_jeffersonianum.tif","Ambystoma jeffersonianum","manual","0, 1","#00000000, #fb8072","absence, presence","km2","national","","","","1"
"theme","Species at Risk (ECCC)","T_ECCC_SAR_Ammodramus_henslowii.tif","Ammodramus henslowii","manual","0, 1","#00000000, #fb8072","absence, presence","km2","national","","","","0.768111432757135"
"theme","Species at Risk (ECCC)","T_ECCC_SAR_Ammodramus_savannarum_pratensis.tif","Ammodramus savannarum pratensis","manual","0, 1","#00000000, #fb8072","absence, presence","km2","national","","","","0.58203781898582"
"theme","Species at Risk (ECCC)","T_ECCC_SAR_Antrostomus_vociferus.tif","Antrostomus vociferus","manual","0, 1","#00000000, #fb8072","absence, presence","km2","national","","","","0.584783765499837"
"theme","Species at Risk (ECCC)","T_ECCC_SAR_Aristida_basiramea.tif","Aristida basiramea","manual","0, 1","#00000000, #fb8072","absence, presence","km2","national","","","","1"
"theme","Species at Risk (ECCC)","T_ECCC_SAR_Arnoglossum_plantagineum.tif","Arnoglossum plantagineum","manual","0, 1","#00000000, #fb8072","absence, presence","km2","national","","","","1"
"theme","Species at Risk (ECCC)","T_ECCC_SAR_Asio_flammeus.tif","Asio flammeus","manual","0, 1","#00000000, #fb8072","absence, presence","km2","national","","","","0.58203781898582"
"theme","Species at Risk (ECCC)","T_ECCC_SAR_Asplenium_scolopendrium.tif","Asplenium scolopendrium","manual","0, 1","#00000000, #fb8072","absence, presence","km2","national","","","","0.819950745083605"
"theme","Species at Risk (ECCC)","T_ECCC_SAR_Bombus_affinis.tif","Bombus affinis","manual","0, 1","#00000000, #fb8072","absence, presence","km2","national","","","","0.586954823110744"
"theme","Species at Risk (ECCC)","T_ECCC_SAR_Bombus_bohemicus.tif","Bombus bohemicus","manual","0, 1","#00000000, #fb8072","absence, presence","km2","national","","","","0.586618926280498"
"theme","Species at Risk (ECCC)","T_ECCC_SAR_Brychius_hungerfordi.tif","Brychius hungerfordi","manual","0, 1","#00000000, #fb8072","absence, presence","km2","national","","","","1"
"theme","Species at Risk (ECCC)","T_ECCC_SAR_Cardellina_canadensis.tif","Cardellina canadensis","manual","0, 1","#00000000, #fb8072","absence, presence","km2","national","","","","0.588997966158642"
"theme","Species at Risk (ECCC)","T_ECCC_SAR_Chaetura_pelagica.tif","Chaetura pelagica","manual","0, 1","#00000000, #fb8072","absence, presence","km2","national","","","","0.584783765499837"
"theme","Species at Risk (ECCC)","T_ECCC_SAR_Chelydra_serpentina.tif","Chelydra serpentina","manual","0, 1","#00000000, #fb8072","absence, presence","km2","national","","","","0.582050367608849"
"theme","Species at Risk (ECCC)","T_ECCC_SAR_Chimaphila_maculata.tif","Chimaphila maculata","manual","0, 1","#00000000, #fb8072","absence, presence","km2","national","","","","1"
"theme","Species at Risk (ECCC)","T_ECCC_SAR_Chordeiles_minor.tif","Chordeiles minor","manual","0, 1","#00000000, #fb8072","absence, presence","km2","national","","","","0.588749340377991"
"theme","Species at Risk (ECCC)","T_ECCC_SAR_Cirsium_hillii.tif","Cirsium hillii","manual","0, 1","#00000000, #fb8072","absence, presence","km2","national","","","","0.911316901617988"
"theme","Species at Risk (ECCC)","T_ECCC_SAR_Cirsium_pitcheri.tif","Cirsium pitcheri","manual","0, 1","#00000000, #fb8072","absence, presence","km2","national","","","","1"
"theme","Species at Risk (ECCC)","T_ECCC_SAR_Clemmys_guttata.tif","Clemmys guttata","manual","0, 1","#00000000, #fb8072","absence, presence","km2","national","","","","0.587459969783159"
"theme","Species at Risk (ECCC)","T_ECCC_SAR_Contopus_cooperi.tif","Contopus cooperi","manual","0, 1","#00000000, #fb8072","absence, presence","km2","national","","","","0.662031272125469"
"theme","Species at Risk (ECCC)","T_ECCC_SAR_Contopus_virens.tif","Contopus virens","manual","0, 1","#00000000, #fb8072","absence, presence","km2","national","","","","0.586618926280498"
"theme","Species at Risk (ECCC)","T_ECCC_SAR_Coturnicops_noveboracensis.tif","Coturnicops noveboracensis","manual","0, 1","#00000000, #fb8072","absence, presence","km2","national","","","","0.588448878839"
